Month,AI_Sessions,Markets_Sessions,Crypto_Sessions,Breakthroughs_Sessions,Policy_Sessions,Guides_Sessions,Newsletter_Signups,Total_Sessions,Crypto_Sessions_adj,Total_Sessions_adj
Jul 2025,10000,20000,15000,12000,8000,25000,500,90000,,90000
Aug 2025,10200,20500,14800,12200,8100,25200,520,91000,,91000
Sep 2025,10500,20100,15500,12400,7900,24800,540,91200,,91200
Oct 2025,14500,21000,16000,12500,8200,25000,560,97200,,97200
Nov 2025,14800,21500,46000,12700,8400,25500,580,128900,16250.0,99150
Dec 2025,15000,22000,16500,13000,8500,26000,590,101000,,101000
Jan 2026,15200,22500,16200,13100,8600,25800,600,101400,,101400
Feb 2026,8500,12500,9000,7300,4800,14500,610,56600,,56600
Mar 2026,8600,12700,9200,7400,4900,14000,620,56800,,56800
Apr 2026,8700,12600,9100,7500,4800,8000,630,50700,,50700
May 2026,8800,12800,9300,7600,5000,4000,640,47500,,47500
Jun 2026,8900,13000,9500,7800,5100,1500,650,45800,,45800
